original,cleaned
Galb1-3GlcNAcb1-3Galb1-4GlcNAcb-Sp0,Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc-Sp0
Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp10,Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc-Sp10
Galb1-3GlcNAcb-Sp0,Gal(b1-3)GlcNAc-Sp0
Galb1-3GlcNAcb-Sp8,Gal(b1-3)GlcNAc-Sp8
Galb1-4(Fuca1-3)GlcNAcb-Sp0,Fuc(a1-3)[Gal(b1-4)]GlcNAc-Sp0
Galb1-4(Fuca1-3)GlcNAcb-Sp8,Fuc(a1-3)[Gal(b1-4)]GlcNAc-Sp8
Galb1-4(Fuca1-3)GlcNAcb1-4Galb1-4(Fuca1-3)GlcNAcb-Sp0,Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc-Sp0
Galb1-4(Fuca1-3)GlcNAcb1-4Galb1-4(Fuca1-3)GlcNAcb1-4Galb1-4(Fuca1-3)GlcNAcb-Sp0,Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc-Sp0
Galb1-4(6S)Glcb-Sp0,Gal(b1-4)GlcOS-Sp0
Galb1-4(6S)Glcb-Sp8,Gal(b1-4)GlcOS-Sp8
Galb1-4GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp8,Gal(b1-4)GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc-Sp8
Galb1-4GalNAcb1-3(Fuca1-2)Galb1-4GlcNAcb-Sp8,Gal(b1-4)GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc-Sp8
Galb1-4GlcNAcb1-3GalNAca-Sp8,Gal(b1-4)GlcNAc(b1-3)GalNAc-Sp8
Galb1-4GlcNAcb1-3GalNAc-Sp14,Gal(b1-4)GlcNAc(b1-3)GalNAc-Sp14
Galb1-4GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc-Sp0
Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc-Sp0
Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc-Sp0
Galb1-4GlcNAcb1-3Galb1-4Glcb-Sp0,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-Sp0
